municipio,anio,seccion,partido,votos,porcentaje,votos_positivos,participacion_pct,intendente_electo,total_electores
ADOLFO GONZALES CHAVES,2023,6,"JUNTOS POR EL CAMBIO",4223,55.89,7556,69.44,"Miriam Lucía GOMEZ",10881
ADOLFO GONZALES CHAVES,2023,6,"UNION POR LA PATRIA",3333,44.11,7556,69.44,"Miriam Lucía GOMEZ",10881
ADOLFO GONZALES CHAVES,2025,6,"ALIANZA NUEVOS AIRES",2656,43.25,6141,56.22,"",10923
ADOLFO GONZALES CHAVES,2025,6,"ALIANZA FUERZA PATRIA",2437,39.68,6141,56.22,"",10923
ADOLFO GONZALES CHAVES,2025,6,"ALIANZA LA LIBERTAD AVANZA",1048,17.07,6141,56.22,"",10923
ALBERTI,2013,4,"FRENTE PROGRESISTA CIVICO Y SOCIAL",3307,45.8,7221,80.47,"",8974
ALBERTI,2013,4,"ALIANZA FRENTE PARA LA VICTORIA",2416,33.46,7221,80.47,"",8974
ALBERTI,2013,4,"FRENTE RENOVADOR",1165,16.13,7221,80.47,"",8974
ALBERTI,2013,4,"UNIDOS POR LA LIBERTAD Y EL TRABAJO",333,4.61,7221,80.47,"",8974
ALBERTI,2015,4,"ALIANZA FRENTE PARA LA VICTORIA",3706,49.22,7529,81.77,"Lago GERMAN",9208
ALBERTI,2015,4,"ALIANZA CAMBIEMOS BUENOS AIRES",3357,44.59,7529,81.77,"Lago GERMAN",9208
ALBERTI,2015,4,"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA",466,6.19,7529,81.77,"Lago GERMAN",9208
ALBERTI,2017,4,"ALIANZA CAMBIEMOS BUENOS AIRES",3363,46.08,7298,78.58,"",9287
ALBERTI,2017,4,"ALIANZA FRENTE JUSTICIALISTA",2897,39.7,7298,78.58,"",9287
ALBERTI,2017,4,"ALIANZA UNIDAD CIUDADANA",673,9.22,7298,78.58,"",9287
ALBERTI,2017,4,"ALIANZA 1 PAIS",365,5,7298,78.58,"",9287
ALBERTI,2019,4,"FRENTE DE TODOS",4338,58.38,7431,79.08,"Germán LAGO",9397
ALBERTI,2019,4,"JUNTOS POR EL CAMBIO",2855,38.42,7431,79.08,"Germán LAGO",9397
ALBERTI,2019,4,"CONSENSO FEDERAL",238,3.2,7431,79.08,"Germán LAGO",9397
ALBERTI,2021,4,"ALIANZA JUNTOS",3327,46.47,7160,74.63,"",9594
ALBERTI,2021,4,"FRENTE DE TODOS",3217,44.93,7160,74.63,"",9594
ALBERTI,2021,4,"ALIANZA AVANZA LIBERTAD",477,6.66,7160,74.63,"",9594
