id,municipio,n2025_1s,n2026_1s,var_nom_1s,var_real_1s,rank_1s,monto_necesario_1s,brecha_1s,per100_1s,diff_vs_avg_1s,n2025_jun,n2026_jun,var_nom_jun,var_real_jun,rank_jun,monto_necesario_jun,brecha_jun,per100_jun,diff_vs_avg_jun
63,Junín,9440517036,12328529048,0.305917,-0.017116,56,12546010234,217481186,98.288432,0.007848,1680748402,2071510762,0.232493,-0.076784,128,2243799117,172288355,92.321578,-0.035165
64,La Costa,28940618549,36990749604,0.27816,-0.038093,101,38454511681,1463762077,96.190746,-0.013129,4809776518,6303428176,0.310545,-0.018318,28,6421051651,117623475,98.168159,0.023301
65,La Matanza,147933506259,189399839595,0.280304,-0.03648,98,196582417174,7182577579,96.352018,-0.011516,26210279960,32527302300,0.241013,-0.070402,120,34990723747,2463421447,92.959787,-0.028782
66,La Plata,68842300969,90169589004,0.309799,-0.014283,50,91480739528,1311150524,98.571718,0.010681,12060493020,15497560213,0.284986,-0.037464,58,16100758182,603197969,96.253605,0.004156
67,Lanús,37083129204,48168520728,0.298934,-0.022454,67,49277572013,1109051285,97.754624,0.00251,6483409257,8264444741,0.274707,-0.045164,69,8655351359,390906617,95.483642,-0.003544
68,Laprida,5608720365,7559013851,0.347725,0.014341,11,7453327498,-105686354,101.434132,0.039305,950190649,1269720763,0.33628,0.000959,11,1268504517,-1216246,100.09588,0.042578
69,Las Flores,6014199279,7889513930,0.311815,-0.012648,44,7992503423,102989493,98.735173,0.012315,1034428294,1310865020,0.267236,-0.050759,82,1380961772,70096752,94.924063,-0.00914
70,Leandro N. Alem,6345867681,7938095882,0.250908,-0.05849,128,8432752750,494656868,94.15098,-0.033526,1061705791,1318762547,0.242117,-0.069575,118,1417377231,98614684,93.042453,-0.027956
71,Lezama,2458515977,3138946883,0.276765,-0.039052,104,3267061720,128114837,96.094821,-0.014088,414971698,524832981,0.264744,-0.052626,85,553987217,29154237,94.737381,-0.011007
72,Lincoln,12897282133,16610907360,0.287939,-0.030622,89,17139151592,528244232,96.937823,-0.005658,2168284489,2763241695,0.274391,-0.0454,70,2894659793,131418098,95.459981,-0.003781
73,Lobería,7186839026,9629561050,0.339888,0.008614,16,9551208302,-78352749,100.861411,0.033578,1190620914,1531569659,0.286362,-0.036433,56,1589478920,57909261,96.356714,0.005187
74,Lobos,4455884220,5927106306,0.330175,0.001131,22,5921891278,-5215028,100.113069,0.026094,812985392,998828558,0.228593,-0.079705,129,1085335498,86506941,92.029475,-0.038086
75,Lomas de Zamora,66075208512,86769979366,0.3132,-0.011721,41,87803127914,1033148548,98.827928,0.013243,11520667490,14896436858,0.293019,-0.031447,50,15380091100,483654242,96.855323,0.010173
76,Luján,16159150958,20350078538,0.259353,-0.052228,117,21472633198,1122554661,94.777176,-0.027265,2767403021,3472352334,0.254733,-0.060125,102,3694483033,222130699,93.987503,-0.018505
77,Magdalena,6672201443,8760726955,0.313019,-0.011813,42,8866454828,105727873,98.818703,0.013151,1137665080,1485906674,0.306102,-0.021646,33,1518782882,32876208,97.835358,0.019973
78,Maipú,5211138970,6478607209,0.243223,-0.064317,131,6924855332,446248123,93.568341,-0.039353,875422442,1090291473,0.245446,-0.067082,116,1168688960,78397488,93.291843,-0.025462
79,Malvinas Argentinas,64501709978,81075366334,0.256949,-0.054055,122,85707438491,4632072156,94.59445,-0.029092,10768133423,13900158460,0.290861,-0.033063,52,14375458120,475299660,96.693673,0.008556
80,Mar Chiquita,9995085991,13068303795,0.307473,-0.015994,54,13281709254,213405459,98.400629,0.00897,1678005412,2222213965,0.324319,-0.008001,20,2240137225,17923260,99.199903,0.033619
81,Marcos Paz,9780265573,13332750381,0.36323,0.025934,6,12996554026,-336196354,102.59335,0.050897,1706239010,2294544417,0.344797,0.007338,8,2277829078,-16715338,100.733828,0.048958
82,Mercedes,13385900293,17265284850,0.289811,-0.029304,84,17787536081,522251231,97.069635,-0.00434,2271301504,2959062332,0.302805,-0.024116,34,3032187508,73125175,97.588369,0.017503
83,Merlo,64510344606,83056126654,0.287485,-0.031073,91,85723375615,2667248961,96.892678,-0.006109,11234285387,14255136765,0.268896,-0.049516,78,14997770992,742634227,95.048369,-0.007897
84,Monte Hermoso,3639241931,4581764674,0.258989,-0.052531,118,4835682838,253918164,94.746905,-0.027567,604688285,791568936,0.309053,-0.019436,31,807258860,15689924,98.056395,0.022184
85,Moreno,48938520269,64478458433,0.31754,-0.008458,36,65033210728,554752294,99.154201,0.016506,8737973555,11085463943,0.268654,-0.049697,79,11665194697,579730754,95.030252,-0.008078
86,Morón,25199094376,31827094118,0.263025,-0.049485,115,33485855583,1658761465,95.051549,-0.024521,4434093074,5478645244,0.235573,-0.074477,125,5919514254,440869009,92.552277,-0.032858
87,Navarro,4775585867,6085167440,0.274224,-0.040979,108,6346279534,261112094,95.902103,-0.016015,818692558,1023846961,0.250588,-0.06323,110,1092954566,69107604,93.676992,-0.02161
88,Necochea,15007528801,19828091333,0.32121,-0.005631,30,19943119153,115027819,99.436889,0.019333,2607348200,3320539334,0.273531,-0.046044,71,3480809847,160270513,95.395597,-0.004424
89,Nueve de Julio,8243103087,10800838287,0.310288,-0.013789,47,10955030607,154192320,98.621111,0.011175,1437572175,1782533994,0.239961,-0.07119,122,1919158853,136624859,92.881003,-0.02957
90,Olavarría,21485527006,27908781635,0.298957,-0.022378,66,28551669521,642887886,97.762177,0.002585,3697310251,4701195287,0.271518,-0.047552,75,4935909185,234713899,95.244769,-0.005933
91,Patagones,14793132473,19438526290,0.314024,-0.011069,40,19658363194,219836904,98.893097,0.013895,2547638698,3311336864,0.299767,-0.026392,38,3401097662,89760798,97.360829,0.015228
92,Pehuajó,15449772809,19543891086,0.264995,-0.047925,113,20530298822,986407736,95.20754,-0.022961,2576177609,3285154342,0.275205,-0.04479,68,3439197108,154042766,95.520967,-0.003171
93,Pellegrini,3209147892,4268675866,0.330159,0.001169,21,4264629939,-4045926,100.116855,0.026132,537645897,706211073,0.313525,-0.016086,25,717757272,11546199,98.39135,0.025533
94,Pergamino,10565764634,14055124097,0.330251,0.001298,20,14041821949,-13302149,100.129784,0.026262,1860660752,2285940469,0.228564,-0.079727,130,2483982104,198041635,92.027252,-0.038108
95,Pila,3425856596,4309795434,0.25802,-0.053128,120,4552842697,243047263,94.687198,-0.028164,590478517,713396577,0.208167,-0.095006,134,788288820,74892243,90.49939,-0.053386
96,Pilar,49795881196,64593634009,0.297168,-0.023791,69,66169169529,1575535519,97.620915,0.001173,8531903182,11100761403,0.301089,-0.025402,35,11390090749,289329345,97.459815,0.016218
97,Pinamar,8155779601,9947000867,0.219626,-0.082148,134,10837113957,890113090,91.785217,-0.057184,1367153272,1719476772,0.257706,-0.057898,97,1825149618,105672845,94.210182,-0.016278
98,Presidente Perón,9958418369,13126498019,0.318131,-0.008014,35,13233537615,107039595,99.198635,0.01695,1782066815,2264388158,0.270653,-0.0482,76,2379059198,114671040,95.179984,-0.00658
99,Puan,11475286916,14749464508,0.285324,-0.032665,92,15248621871,499157363,96.733454,-0.007702,1910572030,2508749238,0.313088,-0.016413,26,2550613660,41864422,98.358653,0.025206
100,Punta Indio,4330915065,5696819279,0.315385,-0.010039,37,5755077581,58258302,98.996132,0.014925,730492644,969102955,0.326643,-0.00626,17,975207680,6104725,99.374008,0.03536
101,Quilmes,46639526753,60697736632,0.301423,-0.020584,62,61977640348,1279903715,97.941588,0.00438,8298287230,10437122703,0.257744,-0.05787,96,11078213452,641090749,94.213049,-0.01625
102,Ramallo,5221656310,6764663741,0.295502,-0.024916,73,6939407000,174743259,97.508388,4.8e-05,914752359,1115830446,0.219817,-0.086279,132,1221194400,105363954,91.372057,-0.04466
103,Rauch,5719463315,7516994256,0.314283,-0.010818,39,7600618335,83624079,98.918245,0.014146,972988389,1260458761,0.295451,-0.029625,46,1298939499,38480737,97.037527,0.011995
104,Rivadavia,8101605239,10512298019,0.297557,-0.023368,68,10766279527,253981508,97.663158,0.001595,1340468915,1738214478,0.296721,-0.028673,43,1789526001,51311523,97.132675,0.012946
105,Rojas,6706789474,8996798248,0.341446,0.009757,15,8912915267,-83882981,100.975692,0.034721,1117251153,1451782324,0.299423,-0.026649,39,1491530289,39747965,97.335088,0.014971
